GM,City Motor Co.,12/28/2005 8:56,113092,,3900 10th Avenue South,,Great Falls,MT,59405
GM,Ressler Motors,10/14/2005 12:24,165361,,P.O. Box 400,,Bozeman,MT,59771-0400
GM,Rimrock Pontiac Cadillac GMC,10/21/2005 10:30,163915,,324 So. 24 Street West,,Billings,MT,59102
GM,Bob King Buick-GMC Inc.,10/20/2006 14:16,115718,,5115 New Centre Drive,,Wilmington,NC,28403
GM,Flow Automotive,1/9/2004 11:18,114096,,1400 S.Stratford Rd,,Winston-Salem,NC,27103
GM,Hendrick Cadillac Hummer,1/20/2006 16:08,213549,,101 Team Hendrick Way,,Cary,NC,27511
GM,Hendrick Chevrolet,4/9/2007 10:17,227370,,3112 Highway 74 West,,Monroe,NC,28110
GM,Hendrick Durham Auto Mall,1/11/2007 13:10,113968,,409 South Roxboro Street,,Durham,NC,27701
GM,Jeff Gordon Chevrolet,3/20/2007 12:04,163036,,228 S COLLEGE RD,,WILMINGTON,NC,28403
GM,Marine Chevrolet Cadillac,2/27/2007 11:04,161031,,1408 Western Blvd.,,Jacksonville,NC,28546
GM,Moore Buick Pontiac GMC,11/17/2006 9:51,118218,,2445 North Marine Blvd.,,Jacksonville,NC,28546
GM,"Powers-Swain Chevrolet, Inc.",11/29/2006 9:04,114095,,4709 Bragg Blvd.,,Fayetteville,NC,28303
GM,Terry LaBonte Chevrolet,4/12/2007 10:33,114069,,1401 Bridford Pkwy.,,Greensboro,NC,27407
GM,Trent Cadillac GMC Buick,3/22/2007 11:01,117511,,1707 Hwy. 70 East,,New Bern,NC,28560
Mopar,Autopark Chrysler Jeep,2/10/2014 14:25,,,400 Auto Park Rd,,Cary,NC,27511
Mopar,Crown Chrysler Dodge,11/21/2006 11:45,,,3607 W. Wendover Avenue,,Greensboro,NC,27407
Mopar,Deacon Jones Chrysler Jeep Dodge,10/24/2013 11:01,,,1109 n brightleaf blvd,,Smithfield,NC,27577
Mopar,Leith Chrysler Jeep,2/10/2014 14:06,,,5500 Capital Blvd,,Raleigh,NC,27616
GM,Gateway Chevrolet Cadillac Nissan Hyundai,9/19/2007 14:07,173280,,501 38th St. S,,Fargo,ND,58103
GM,Luther Family Buick GMC,5/26/2006 10:06,196831,,3202 36th Street South,,Fargo,ND,58104
GM,Rydell GM Auto Center,12/14/2007 10:58,111708,,2700 S. Washington St.,,Grand Forks,ND,58201
GM,Tom Dinsdale Automotive,5/22/2007 11:07,196591,,3312 W Stolley Park Rd,,Grand Island,NE,68803
GM,Tonniges Chevrolet,8/13/2007 10:53,112040,,414 Nebraska St.,,Osceola,NE,68651
Mopar,Baxter Chrysler Jeep Dodge,2/28/2014 13:52,,,17950 Burt St,,Omaha,NE,68118
GM,Banks Chevrolet Cadillac Buick GMC Truck,2/14/2008 8:57,532033,,137 Manchester St.,,Concord,NH,3301
GM,Holloway Buick GMC Cadillac,4/16/2007 7:37,115437,,500 Rte. 1 Bypass,,Portsmouth,NH,3801
GM,Littleton Chevrolet,6/24/2008 9:32,115016,,851 Meadow St.,,Littleton,NH,3561
Mopar,Keene Chrysler-Jeep-Dodge-RAM,9/11/2008 11:52,65146,,410 Winchester St.,,Keene,NH,3431
GM,Englewood Auto Group,5/28/2008 15:17,164830,,386 Grand Ave.,,Englewood,NJ,7631
GM,Norman Gale Buick Pontiac GMC,2/8/2007 10:40,116921,,1247 Route 10 East,,Cedar Knolls,NJ,7927
GM,Union Pontiac GMC Buick,7/9/2007 12:55,158544,,2301 Rt 22 West,,Union,NJ,7083
Mopar,Franklin Sussex Auto Mall,12/10/2013 14:46,,,315 Route 23,,Sussex,NJ,7461
Mopar,Fullerton Chrysler Jeep Dodge,10/31/2013 13:14,,,1050 US Highway 22 PO box 718,,Somerville,NJ,8876
Mopar,Johnson Dodge Chrysler Jeep Ram,10/22/2013 11:14,,,PO Box 488,,Hackettstown,NJ,7840
Toyota,Desert Sun Motor Co.,6/10/2008 12:35,,,2600 N. White Sands Blvd.,,Alamogordo,NM,88310
GM,Desert Sun Motors- Alamogordo,6/10/2008 12:29,112351,,2600 N. White Sands Blvd.,,Alamogordo,NM,88310
